CompanyID,CompanyName
1,1341 S Atherton St
2,143 W Park Ave
3,Bartley Builders
4,"Bellows Construction, LLC"
5,Berks Homes
6,Best Buy/Staples
7,Best Line Equipment (HQ)
8,Best Line Equipment at Hawbaker Dr
9,Best Line Powersports
10,Bobby Rahal Honda
11,Bortz Woodwork
12,Bowman Excavtion
13,Citizen's Bank
14,College Township
15,"Continental Real Estate Mgmt, Inc."
16,Estate of James E. Himes
17,Ferguson Township
18,"GiGi's Southern Comfort, LLC"
19,Governor's Gate Apartment
20,Hamilton Apartments
21,Hampton Inn
22,Happy Valley Blended Products
23,Heritage Realty
24,Heritage Realty Group
25,Homecoming Ridge CoA
26,Hyatt Place
27,Jack's Beer Shop
28,Jersey Shore Bank
29,Jmarks
30,Keystone Real Estate Group
31,MBSC Properties
32,MBSC Properties LLC
33,Mark Sapia's Residence
34,"Marx Realty & Improvement Co., Inc."
35,Massaro Corporation
36,"Maxwell Trucking & Excavating, Inc."
37,"Miller Electric, Ltd."
38,Morgan Properties
39,"Nittany Controls, LLC"
40,Nittany Mall
41,Nittany Property Management
42,Northwest Bank
43,Oakwood Centre
44,Ocean State Job Lot
45,"Okonak Dean & Lechner, P.C."
46,"Paradigm Properties Group, Inc"
48,"Park Forest Enterprises, Inc."
49,Parkway Plaza
50,Penn Installations
51,"Penn Terra Engineering, Inc"
52,Penstan Supply
53,Perkins Restaurant/JDK Mgt.
54,Philip Hawk & Company
55,Porter Paint & Wallpaper
56,Price's Sawmill
57,Prime Property Group
58,Professional Design & Construction LLC
59,"Property Management, Inc."
60,Pugh Street Associates / Sheetz (former)
61,Pugh Street Associates / Yoga Lab
62,Raytheon Company
63,ReStore
64,S&A Homes
65,Seko Logistics
66,South Hills Business School
67,Star Grande LLC
68,State College Friends School
69,Stone Manor Condo Assoc
70,Stover McGlaughlin Law Office
71,"Strawberry Fields, Inc"
72,Stuckey Ford
73,Sunbelt Rentals
74,The Bryn
75,The Heights at State College
76,The Pointe
77,The Shandygaff
78,The Station at State College
79,The Valley
80,The View
81,The Yards at Old State
82,Titan Federal Credit Union
83,Together Investments
84,Tony Sapia's Residence
85,Tremont Student Living
86,U-Haul of Harrisburg
87,United Rentals
88,"Westmoreland Electric Services, LLC"
89,p2p Computer Solutions
